Gene	strand	SwitchScore	Tissue1	Tissue1Inc	Tissue2	Tissue2Inc	GeneDescription	chr	start	end	Event_hg18
TEX264	+	0.31	cerebellum	1	liver	0.69	testis expressed sequence 264,testis expressed seq	chr3	51674270	51674562	chr3:51683327-51683618:+
PCBP4	-	0.51	cerebellum	0.77	MB435	0.25	NA	chr3	51961940	51962088	chr3:51970997-51971144:-
ABHD14B	-	0.38	cerebellum	1	MB435	0.62	abhydrolase domain containing 14B,abhydrolase do	chr3	51971459	51971698	chr3:51980516-51980754:-
ABHD14B	-	0.5	cerebellum	1	MB435	0.50	abhydrolase domain containing 14B,abhydrolase do	chr3	51971459	51971892	chr3:51980516-51980948:-
GLYCTK1,GLYCTK	+	0.45	adipose	0.55	liver	1.00	CG9886-like,Homo sapiens glycerate kinase 1 (GLY	chr3	52290303	52290719	chr3:52299360-52299775:+
PB1	-	0.77	T47D	1	lymphNode	0.23	polybromo 1 isoform 2,polybromo 1 isoform 4,polybr	chr3	52554723	52554879	chr3:52563780-52563935:-
UNQ572,GLT8D1	-	0.31	cerebellum	1	T47D	0.69	glycosyltransferase 8 domain containing 1,glycosyltr	chr3	52704723	52704952	chr3:52713780-52714008:-
AK124433,MAGI1	-	0.89	breast	0	brain	0.89	membrane associated guanylate kinase, WW and P	chr3	65359063	65359152	chr3:65319779-65319867:-
AK124433,MAGI1	-	0.27	cerebellum	0.72	breast	0.45	membrane associated guanylate kinase, WW and P	chr3	65375744	65375912	chr3:65336460-65336627:-
AK124433,MAGI1	-	0.33	cerebellum	0.73	breast	0.39	membrane associated guanylate kinase, WW and P	chr3	65375744	65375948	chr3:65336460-65336663:-
UBE1C	-	0.29	BT474	0.71	brain	1.00	ubiquitin-activating enzyme E1C isoform 1,ubiquitin-	chr3	69080111	69080153	chr3:69211953-69211994:-
CADM2	+	0.88	adipose	1	brain	0.12	immunoglobulin superfamily, member 4D,immunoglo	chr3	85979163	85979283	chr3:86111004-86111123:+
MTMR14	+	0.27	MCF7	1	MB435	0.73	jumpy isoform 2,jumpy isoform 1,jumpy isoform 3,ju	chr3	9677983	9678058	chr3:9694668-9694742:+
MTMR14	+	0.28	BT474	1	lymphNode	0.72	jumpy isoform 2,jumpy isoform 1,jumpy isoform 3,ju	chr3	9689963	9690143	chr3:9706648-9706827:+
MTMR14	+	0.27	lymphNode	0.73	skelMuscle	1.00	jumpy isoform 2,jumpy isoform 1,jumpy isoform 3,ju	chr3	9697710	9697866	chr3:9714395-9714550:+
DKFZp586B0320,T	+	0.36	MCF7	1	MB435	0.64	tubulin tyrosine ligase-like family, member 3,tubulin t	chr3	9744223	9744508	chr3:9760908-9761192:+
CAMK1	-	0.49	MB435	1	colon	0.51	calcium/calmodulin-dependent protein kinase I,Hom	chr3	9765758	9765890	chr3:9782443-9782574:-
RPUSD3	-	0.38	MCF7	1	BT474	0.62	RNA pseudouridylate synthase domain containing,R	chr3	9839031	9839171	chr3:9855716-9855855:-
RPUSD3	-	0.27	cerebellum	1	MCF7	0.73	RNA pseudouridylate synthase domain containing,R	chr3	9843464	9843601	chr3:9860149-9860285:-
UNQ6118,IL17RC	+	0.48	T47D	0.94	adipose	0.46	interleukin 17 receptor C isoform 2 precursor,interleu	chr3	9918334	9918409	chr3:9935019-9935093:+
CLDND1	-	0.32	cerebellum	1	heart	0.68	claudin domain containing 1 protein isoform a,claud	chr3	98521132	98521437	chr3:99722667-99722971:-
CLDND1	-	0.29	cerebellum	1	heart	0.71	claudin domain containing 1 protein isoform a,claud	chr3	98521132	98521442	chr3:99722667-99722976:-
CLDND1	-	0.28	MCF7	0	brain	0.28	claudin domain containing 1 protein isoform a,claud	chr3	98521652	98521696	chr3:99723187-99723230:-
CLDND1	-	0.27	brain	0.27	colon	0.00	claudin domain containing 1 protein isoform a,claud	chr3	98521652	98521703	chr3:99723187-99723237:-
ANK2	+	0.93	brain	0.07	heart	1.00	ankyrin 2 isoform 1,ankyrin 2 isoform 2,ankyrin 2 iso	chr4	113372532	113372625	chr4:114513138-114513230:+
ANK2	+	0.93	cerebellum	0.07	testes	1.00	ankyrin 2 isoform 1,ankyrin 2 isoform 2,ankyrin 2 iso	chr4	113374763	113374946	chr4:114515369-114515551:+
graf-2,ARHGAP10	+	0.59	lymphNode	0.41	skelMuscle	1.00	Rho GTPase activating protein 10,Rho GTPase activ	chr4	148063147	148063300	chr4:149203749-149203901:+
n/a	+	0.38	cerebellum	0	testes	0.38	n/a	chr4	15684849	15684959	chr4:15295571-15295680:+
GLRB	+	0.32	cerebellum	0.68	brain	1.00	glycine receptor, beta	chr4	157152717	157153010	chr4:158293320-158293612:+
CLIM1b	-	0.42	colon	1	lymphNode	0.58	LIM domain binding 2,LIM domain binding 2,LIM do	chr4	16505839	16505982	chr4:16116561-16116703:-
SC4MOL	+	0.55	BT474	0.45	MB435	1.00	sterol-C4-methyl oxidase-like isoform 1,sterol-C4-me	chr4	165333339	165333625	chr4:166473942-166474227:+
PALLD,KIAA0992	+	0.27	MCF7	1	skelMuscle	0.74	palladin,palladin,KIAA0992 protein (Fragment).,SIH	chr4	168877722	168878394	chr4:170035449-170036120:+
PALLD,KIAA0992	+	0.95	HME	0	heart	0.95	palladin,palladin,KIAA0992 protein (Fragment).,SIH0	chr4	168925232	168925278	chr4:170082959-170083004:+
QDPR	-	0.29	cerebellum	1	liver	0.71	quinoid dihydropteridine reductase,Homo sapiens c	chr4	17492231	17492340	chr4:17102953-17103061:-
QDPR	-	0.4	BT474	1	colon	0.60	quinoid dihydropteridine reductase,Homo sapiens cD	chr4	17509270	17509363	chr4:17119992-17120084:-
n/a	+	0.28	colon	1	heart	0.72	n/a	chr4	173530799	173531078	chr4:174688526-174688804:+
PDLIM3	-	0.99	BT474	1	skelMuscle	0.01	PDZ and LIM domain protein 3 (Actinin-associated L	chr4	185514702	185514890	chr4:186672851-186673038:-
ArgBP2b,ArgBP2a,	-	0.62	brain	0.62	heart	0.00	sorbin and SH3 domain containing 2 isoform 1,sorbi	chr4	185622913	185624494	chr4:186781062-186782642:-
ArgBP2b,ArgBP2a,	-	0.56	brain	1	colon	0.44	sorbin and SH3 domain containing 2 isoform 1,sorbi	chr4	185651783	185651828	chr4:186809932-186809976:-
RNF4	+	0.42	MCF7	1	brain	0.58	ring finger protein 4,ring finger protein 4,	chr4	2490336	2490502	chr4:2461862-2462027:+
TNIP2	-	0.26	breast	1	T47D	0.74	A20-binding inhibitor of NF-kappaB activation 2,A20	chr4	2744696	2744945	chr4:2716222-2716470:-
SH3BP2	+	0.43	cerebellum	1	heart	0.57	SH3-domain binding protein 2,SH3-domain binding p	chr4	2829492	2830147	chr4:2801018-2801672:+
SH3BP2	+	0.33	BT474	0.62	lymphNode	0.95	SH3-domain binding protein 2,SH3-domain binding	chr4	2831922	2831978	chr4:2803448-2803503:+
CR622423,ADD1	+	0.61	cerebellum	0.62	lymphNode	0.01	adducin 1 (alpha) isoform d,adducin 1 (alpha) isofor	chr4	2926641	2926675	chr4:2898167-2898200:+
TETRAN	-	0.28	T47D	1	adipose	0.72	tetracycline transporter-like protein,Homo sapiens te	chr4	2931554	2931663	chr4:2903080-2903188:-
FAM114A1	+	0.27	breast	1	adipose	0.73	hypothetical protein LOC92689	chr4	38878070	38878426	chr4:38556087-38556442:+
LIG,HIP2	+	0.49	BT474	0.51	MB435	1.00	Ubiquitin-conjugating enzyme E2-25 kDa (EC 6.3.2.1	chr4	39745751	39745810	chr4:39423767-39423825:+
LIG,HIP2	+	0.28	HME	1	lymphNode	0.73	Ubiquitin-conjugating enzyme E2-25 kDa (EC 6.3.2.	chr4	39755656	39755739	chr4:39433672-39433754:+
LIG,HIP2	+	0.48	cerebellum	1	skelMuscle	0.52	Ubiquitin-conjugating enzyme E2-25 kDa (EC 6.3.2.1	chr4	39777681	39777810	chr4:39455697-39455825:+
AK025296,FLJ2027	-	0.32	breast	1	colon	0.68	hypothetical protein LOC54502,hypothetical protein	chr4	40436440	40436644	chr4:40133215-40133418:-
AK025296,FLJ2027	-	0.33	breast	1	colon	0.67	hypothetical protein LOC54502,hypothetical protein	chr4	40436440	40436647	chr4:40133215-40133421:-
GNPDA2	-	0.31	cerebellum	0.69	HME	1.00	glucosamine-6-phosphate deaminase 2,glucosamin	chr4	44722083	44722242	chr4:44418858-44419016:-
GPI7,PIGG	+	0.43	MB435	0.57	T47D	1.00	GPI ethanolamine phosphate transferase 2 (EC 2.-.-	chr4	530435	530745	chr4:514225-514534:+
ANKRD17	-	0.55	cerebellum	1	MB435	0.45	ankyrin repeat domain protein 17 isoform a,ankyrin r	chr4	73139530	73140283	chr4:74224112-74224864:-
ART3	+	0.57	MB435	0.43	heart	1.00	NA	chr4	76081823	76082535	chr4:77222001-77222712:+
SH3TC1,FLJ00164	+	0.27	adipose	0.46	lymphNode	0.73	SH3 domain and tetratricopeptide repeats 1,SH3 do	chr4	8216956	8217167	chr4:8269584-8269794:+
HNRPD	-	0.32	liver	0.93	lymphNode	0.61	heterogeneous nuclear ribonucleoprotein D,heterog	chr4	82371527	82371584	chr4:83511705-83511761:-
JKTBP,HNRPDL	-	0.72	MCF7	0.75	brain	0.03	NA	chr4	82425562	82425667	chr4:83565740-83565844:-
KIAA0905,SEC31A	-	0.32	cerebellum	1	colon	0.68	SEC31 homolog A isoform 4,SEC31 homolog A isof	chr4	82842139	82842481	chr4:83982317-83982658:-
KIAA0905,SEC31A	-	0.3	cerebellum	1	colon	0.70	SEC31 homolog A isoform 4,SEC31 homolog A isof	chr4	82842184	82842481	chr4:83982362-83982658:-
GAK	-	0.6	cerebellum	1	colon	0.40	cyclin G associated kinase,cyclin G associated kinas	chr4	896459	896549	chr4:880248-880337:-
GAK	-	0.25	cerebellum	1	breast	0.75	cyclin G associated kinase,cyclin G associated kina	chr4	904636	904779	chr4:888425-888567:-
PPM1K	-	0.52	cerebellum	1	MCF7	0.48	protein phosphatase 1K (PP2C domain containing),	chr4	88278139	88278642	chr4:89418316-89418818:-
PPM1K	-	0.52	cerebellum	1	MCF7	0.49	protein phosphatase 1K (PP2C domain containing),	chr4	88278143	88278642	chr4:89418320-89418818:-
DKFZp547K246,TM	+	0.56	T47D	1	brain	0.44	hypothetical protein LOC84286,Homo sapiens cDNA	chr4	947708	948154	chr4:931497-931942:+
PDLIM5,LIM	+	0.73	breast	1	skelMuscle	0.28	PDZ and LIM domain 5 isoform b,PDZ and LIM dom	chr4	94575615	94576034	chr4:95715790-95716208:+
PDLIM5,LIM	+	0.54	HME	1	skelMuscle	0.46	PDZ and LIM domain 5 isoform b,PDZ and LIM dom	chr4	94575942	94576034	chr4:95716117-95716208:+
PDLIM5,LIM	+	0.96	HME	0	heart	0.96	PDZ and LIM domain 5 isoform b,PDZ and LIM dom	chr4	94584985	94585003	chr4:95725160-95725177:+
peptidylglycine	+	0.59	cerebellum	0.41	MB435	1.00	peptidylglycine alpha-amidating monooxygenase,pep	chr5	103025130	103025334	chr5:102388734-102388937:+
peptidylglycine	+	0.6	breast	0.4	MB435	1.00	peptidylglycine alpha-amidating monooxygenase,pep	chr5	103025133	103025334	chr5:102388737-102388937:+
SEMA6A	-	0.54	cerebellum	0.46	T47D	1.00	sema domain, transmembrane domain (TM), and,se	chr5	116467582	116467747	chr5:115831178-115831342:-
SEMA6A	-	0.36	adipose	0.04	brain	0.40	sema domain, transmembrane domain (TM), and,se	chr5	116472884	116472935	chr5:115836480-115836530:-
CDC42SE2	+	0.27	MCF7	1	T47D	0.73	CDC42 small effector 2,CDC42 small effector 2,CD	chr5	131315975	131316144	chr5:130679568-130679736:+
CDC42SE2	+	0.35	MCF7	1	T47D	0.65	CDC42 small effector 2,CDC42 small effector 2,CDC	chr5	131315979	131316144	chr5:130679572-130679736:+
AFF4	-	0.42	BT474	1	adipose	0.58	ALL1 fused gene from 5q31,ALL1 fused gene from	chr5	132898229	132898392	chr5:132261821-132261983:-
UBE2B	+	0.3	cerebellum	1	colon	0.70	ubiquitin-conjugating enzyme E2B	chr5	134388324	134388413	chr5:133751915-133752003:+
PHF15,FLJ00195	+	0.38	breast	0.62	BT474	1.00	Homo sapiens mRNA for hypothetical protein (ORF1	chr5	134576767	134576896	chr5:133940357-133940485:+
CAMLG	+	0.45	breast	0.55	heart	1.00	calcium modulating ligand,Homo sapiens calcium m	chr5	134741062	134741523	chr5:134104652-134105112:+
CAMLG	+	0.6	adipose	0.33	brain	0.93	calcium modulating ligand,Homo sapiens calcium m	chr5	134743986	134744052	chr5:134107576-134107641:+
H2AFY,AX747819	-	0.38	BT474	0.96	colon	0.58	H2A histone family, member Y isoform 3,H2A histon	chr5	135352945	135353045	chr5:134716535-134716634:-
BRD8	-	0.62	cerebellum	1	MB435	0.38	bromodomain containing 8 isoform 1,bromodomain c	chr5	138166517	138166727	chr5:137530106-137530315:-
BRD8	-	0.67	MCF7	1	testes	0.33	bromodomain containing 8 isoform 1,bromodomain c	chr5	138168469	138168688	chr5:137532058-137532276:-
SIL1	-	0.33	cerebellum	1	heart	0.67	SIL1 protein precursor,SIL1 protein precursor,SIL1	chr5	139026800	139026992	chr5:138390389-138390580:-
KIAA0723,DKFZp68	+	0.53	brain	1	lymphNode	0.47	matrin 3,matrin 3,matrin 3,matrin 3,matrin 3,matrin 3	chr5	139308158	139308327	chr5:138671747-138671915:+
TMEM173	-	0.48	breast	1	colon	0.52	hypothetical protein LOC340061	chr5	139481477	139481704	chr5:138841247-138841473:-
CXXC5	+	0.41	T47D	0.15	testes	0.56	CXXC finger 5,Hypothetical protein (CXXC5 protein)	chr5	139679846	139679940	chr5:139039616-139039709:+
PFDN1,AX748200	-	0.28	BT474	1	liver	0.72	prefoldin subunit 1,Homo sapiens mRNA for prefold	chr5	140300415	140300582	chr5:139660185-139660351:-
FLJ00246,MASK-B	+	0.68	cerebellum	1	T47D	0.32	MASK-4E-BP3 protein,ankyrin repeat and KH domai	chr5	140496519	140497278	chr5:139856289-139857047:+
FLJ00246,MASK-B	+	0.39	cerebellum	1	breast	0.61	MASK-4E-BP3 protein,ankyrin repeat and KH domai	chr5	140535361	140535538	chr5:139895131-139895307:+
PCDHGB3,PCDHG	+	0.53	MB435	0.48	colon	1.00	protocadherin gamma subfamily A, 11 isoform 1,prot	chr5	141478393	141478546	chr5:140838145-140838297:+
HDAC3	-	0.25	cerebellum	1	MB435	0.75	histone deacetylase 3,histone deacetylase 3,	chr5	141634810	141634953	chr5:140994562-140994704:-
C5orf16	+	0.79	brain	1	lymphNode	0.21	chromosome 5 open reading frame 16,	chromosome	chr5	141638954	141639021	chr5:140998706-140998772:+
RNF14	+	0.35	brain	0.65	testes	1.00	ring finger protein 14 isoform 1,ring finger protein 14	chr5	141974803	141974955	chr5:141334553-141334704:+
KIAA0621,ARHGAP	+	0.56	cerebellum	0.44	breast	1.00	GTPase regulator associated with the focal,GTPase	chr5	143207197	143207308	chr5:142566956-142567066:+
KIAA0621,ARHGAP	+	0.71	cerebellum	0.29	breast	1.00	GTPase regulator associated with the focal,GTPase	chr5	143207197	143207473	chr5:142566956-142567231:+
FBXO38	+	0.45	cerebellum	1	MCF7	0.55	F-box protein 38 isoform b,F-box protein 38 isoform	chr5	148427212	148427722	chr5:147786969-147787478:+
FBXO38	+	0.45	cerebellum	1	MCF7	0.55	F-box protein 38 isoform b,F-box protein 38 isoform	chr5	148427212	148427947	chr5:147786969-147787703:+
KIAA0843,ABLIM3	+	0.8	cerebellum	0.84	adipose	0.04	actin binding LIM protein family, member 3,actin bind	chr5	149240675	149240774	chr5:148600432-148600530:+
KIAA0843,ABLIM3	+	0.29	cerebellum	1	colon	0.71	actin binding LIM protein family, member 3,actin bin	chr5	149242490	149242538	chr5:148602247-148602294:+
L26953,CSNK1A1	-	0.28	cerebellum	1	skelMuscle	0.72	casein kinase 1, alpha 1 isoform 1,casein kinase 1,	chr5	149517793	149517877	chr5:148877550-148877633:-
KIAA0968	-	0.78	brain	0.13	skelMuscle	0.91	calcium/calmodulin-dependent protein kinase IIA,cal	chr5	150239703	150239736	chr5:149599460-149599492:-
TCOF1	+	0.43	HME	0.74	lymphNode	0.30	Treacher Collins-Franceschetti syndrome 1,Treache	chr5	150391543	150391657	chr5:149751300-149751413:+
NAF1,TNIP1	-	0.44	cerebellum	1	brain	0.56	TNFAIP3 interacting protein 1,TNFAIP3 interacting p	chr5	151033607	151033799	chr5:150393362-150393553:-
ANXA6	-	0.76	breast	0.93	BT474	0.17	annexin VI isoform 1,annexin VI isoform 2,annexin V	chr5	151110626	151110644	chr5:150470381-150470398:-
ATOX1	-	0.3	colon	1	lymphNode	0.70	antioxidant protein 1	chr5	151751703	151751779	chr5:151111458-151111533:-
CNOT8	+	0.31	cerebellum	1	HME	0.69	CCR4-NOT transcription complex, subunit 8,CCR4-	chr5	154863206	154863395	chr5:154222960-154223148:+
MRPL22	+	0.33	HME	1	heart	0.67	mitochondrial ribosomal protein L22 isoform a,mitoc	chr5	154950820	154950938	chr5:154310574-154310691:+
ODZ2	+	0.79	HME	0.04	heart	0.83	odz, odd Oz/ten-m homolog 2,odz, odd Oz/ten-m ho	chr5	168211733	168211754	chr5:167571317-167571337:+
FAM44B	-	0.39	cerebellum	1	lymphNode	0.61	hypothetical protein LOC91272	chr5	173613130	173613255	chr5:172972740-172972864:-
CLTB	-	0.9	cerebellum	0.9	breast	0.00	clathrin, light polypeptide isoform b,clathrin, light poly	chr5	176396478	176396532	chr5:175756086-175756139:-
XHRIP110,RXRIP1	-	0.51	cerebellum	1	HME	0.49	NA	chr5	176968554	176969291	chr5:176328162-176328898:-
DBN1	-	0.93	MCF7	0	brain	0.93	drebrin 1 isoform b,drebrin 1 isoform a,	chr5	177459602	177459740	chr5:176819210-176819347:-
PDLIM7	-	0.26	breast	1	colon	0.75	PDZ and LIM domain 7 isoform 1,Homo sapiens EN	chr5	177489770	177490593	chr5:176849378-176850200:-
PDLIM7	-	0.94	MCF7	1	skelMuscle	0.06	PDZ and LIM domain 7 isoform 1,Homo sapiens ENI	chr5	177491806	177491925	chr5:176851414-176851532:-
DKFZp313I142,FLJ	-	0.3	MCF7	1	HME	0.70	Homo sapiens mRNA for KIAA1931 protein, partial	chr5	177531281	177531521	chr5:176890889-176891128:-
DKFZp313I142,FLJ	-	0.29	cerebellum	0.71	MCF7	1.00	Homo sapiens mRNA for KIAA1931 protein, partial	chr5	177531952	177532131	chr5:176891560-176891738:-
DKFZp313I142,FLJ	-	0.53	MCF7	1	HME	0.47	Homo sapiens mRNA for KIAA1931 protein, partial c	chr5	177531952	177532200	chr5:176891560-176891807:-
HNRPAB	+	0.56	BT474	0.31	skelMuscle	0.87	heterogeneous nuclear ribonucleoprotein AB,heterog	chr5	178210131	178210272	chr5:177569739-177569879:+
pp9286,AGXT2L2	-	0.35	breast	1	lymphNode	0.65	alanine-glyoxylate aminotransferase 2-like 2,Homo s	chr5	178212972	178213103	chr5:177572580-177572710:-
HNRPH1	-	0.5	BT474	0.45	adipose	0.95	heterogeneous nuclear ribonucleoprotein H1,heterog	chr5	179615545	179615595	chr5:178975153-178975202:-
n/a	+	0.32	breast	0.68	colon	1.00	n/a	chr5	179795583	179795856	chr5:179155191-179155463:+
MGAT1	-	0.27	cerebellum	1	adipose	0.73	mannosyl (alpha-1,3-)-glycoprotein,mannosyl (alpha	chr5	180808647	180809076	chr5:180168254-180168682:-
MTMR12	-	0.25	MCF7	0.75	BT474	1.00	myotubularin related protein 12	chr5	32233772	32233934	chr5:32269636-32269797:-
TARS	+	0.29	cerebellum	0.72	breast	1.00	threonyl-tRNA synthetase,Homo sapiens cDNA FLJ	chr5	33448540	33448731	chr5:33484404-33484594:+
PDCD6,ALG-2,KIAA	+	0.33	cerebellum	1	testes	0.67	arylhydrocarbon receptor repressor,arylhydrocarbon	chr5	304176	306754	chr5:357292-359869:+
DAB2	-	0.36	cerebellum	1	heart	0.64	disabled homolog 2,disabled homolog 2,	chr5	39382617	39383271	chr5:39418477-39419130:-
DAB2	-	0.26	breast	1	colon	0.74	disabled homolog 2,disabled homolog 2,	chr5	39388304	39388367	chr5:39424164-39424226:-
n/a	-	0.68	cerebellum	1	adipose	0.32	n/a	chr5	42804655	42807108	chr5:42840515-42842967:-
HMGCS1	-	0.41	BT474	0.39	HME	0.80	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1,	chr5	43307765	43307824	chr5:43343625-43343683:-
C5orf28	-	0.4	MCF7	1	MB435	0.60	hypothetical protein LOC64417,hypothetical protein	chr5	43453657	43454043	chr5:43489517-43489902:-
PAP2-a1,PPAP2A	-	0.32	adipose	0.02	skelMuscle	0.34	phosphatidic acid phosphatase type 2A isoform 2,H	chr5	55490959	55491114	chr5:54822545-54822699:-
ERBB2IP	+	0.29	MCF7	1	brain	0.71	ERBB2 interacting protein isoform 2,ERBB2 interact	chr5	66075023	66075230	chr5:65406608-65406814:+
mccb,MCCC2	+	0.26	MCF7	1	liver	0.74	methylcrotonoyl-Coenzyme A carboxylase 2 (beta),	chr5	71626639	71626753	chr5:70958223-70958336:+
HMGCR	+	0.53	MCF7	1	brain	0.47	3-hydroxy-3-methylglutaryl-Coenzyme A reductase,3	chr5	75355055	75355214	chr5:74686637-74686795:+
PAPD4	+	0.35	cerebellum	1	BT474	0.65	PAP associated domain containing 4,PAP associate	chr5	79649061	79649190	chr5:78980641-78980769:+
ZCCHC9	+	0.39	cerebellum	0.61	breast	1.00	zinc finger, CCHC domain containing 9,zinc finger,	chr5	81304740	81305141	chr5:80636316-80636716:+
CSPG2,VCAN	+	0.78	MB435	1	colon	0.22	chondroitin sulfate proteoglycan 2 (versican),chondr	chr5	83519348	83522309	chr5:82850924-82853884:+
ZDHHC11,UNQ598	-	0.31	BT474	1	T47D	0.69	zinc finger, DHHC domain containing 11,Homo sapi	chr5	823388	824093	chr5:876504-877208:-
CAST	+	0.54	heart	0.86	skelMuscle	0.31	calpastatin isoform a,calpastatin isoform h,calpastati	chr5	96726793	96726859	chr5:96088254-96088319:+
QRSL1	+	0.87	lymphNode	0.13	testes	1.00	Glutaminyl-tRNA synthase (Glutamine-hydrolyzing)-l	chr6	106652208	106652384	chr6:107206777-107206952:+
NEDD9	-	0.52	breast	1	liver	0.49	NA	chr6	11213280	11213727	chr6:11321500-11321946:-
RWDD1	+	0.31	cerebellum	0.32	adipose	0.01	RWD domain containing 1 isoform b,RWD domain c	chr6	116572857	116572985	chr6:117000714-117000841:+
RWDD1	+	0.56	cerebellum	0.59	skelMuscle	0.03	RWD domain containing 1 isoform b,RWD domain c	chr6	116574057	116574171	chr6:117001914-117002027:+
SMPDL3A	+	0.33	MB435	1	skelMuscle	0.67	acid sphingomyelinase-like phosphodiesterase 3A,H	chr6	122795676	122795890	chr6:123158521-123158734:+
NS5ATP2,HDDC2	-	0.55	MCF7	0.62	lymphNode	0.07	HD domain containing 2,Homo sapiens CGI-130 pro	chr6	125298713	125298816	chr6:125661559-125661661:-
NCOA7	+	0.3	cerebellum	1	HME	0.70	nuclear receptor coactivator 7,nuclear receptor coac	chr6	125855019	125855240	chr6:126217859-126218079:+
ECHDC1	-	0.55	breast	1	MB435	0.45	enoyl Coenzyme A hydratase domain containing 1,E	chr6	127316449	127316502	chr6:127679288-127679340:-
ECHDC1	-	0.42	breast	1	lymphNode	0.58	enoyl Coenzyme A hydratase domain containing 1,E	chr6	127330808	127331030	chr6:127693647-127693868:-
DKFZp564J1082,E	-	0.66	breast	1	brain	0.34	erythrocyte membrane protein band 4.1-like 2,Hypot	chr6	130867458	130867581	chr6:131230292-131230414:-
BCLAF1	-	0.38	cerebellum	1	BT474	0.62	BCL2-associated transcription factor 1 isoform,BCL2	chr6	136267028	136267175	chr6:136629860-136630006:-
AB073649,MAP7	-	0.55	MCF7	0.45	testes	1.00	microtubule-associated protein 7,microtubule-associ	chr6	136383670	136383781	chr6:136746502-136746612:-
LRP11	-	0.26	cerebellum	1	colon	0.74	low density lipoprotein receptor-related protein,low d	chr6	149853002	149853160	chr6:150215832-150215989:-
RMND1	-	0.65	cerebellum	1	testes	0.35	required for meiotic nuclear division 1 homolog,requi	chr6	151445307	151445825	chr6:151808136-151808653:-
SYNE1,KIAA0796,K	-	0.4	cerebellum	0.6	heart	1.00	nesprin 1 isoform longer,Homo sapiens mRNA for KI	chr6	152130719	152130778	chr6:152493548-152493606:-
SYNJ2	+	0.29	MCF7	1	BT474	0.72	synaptojanin 2,synaptojanin 2,synaptojanin 2,synap	chr6	158028755	158029026	chr6:158369776-158370046:+
PDCD2	-	0.27	MCF7	1	MB435	0.73	programmed cell death 2 isoform 1,programmed ce	chr6	170580001	170580105	chr6:170731015-170731118:-
CAP2	+	0.26	cerebellum	1	BT474	0.74	adenylyl cyclase-associated protein 2	chr6	17513848	17513954	chr6:17622059-17622164:+
BTN2A2	+	0.25	MCF7	1	MB435	0.75	butyrophilin, subfamily 2, member A2 isoform a,butyr	chr6	26385014	26385362	chr6:26493222-26493569:+
BTN2A1	+	0.34	MB435	1	brain	0.66	butyrophilin, subfamily 2, member A1 isoform 1,butyr	chr6	26458606	26458718	chr6:26566814-26566925:+
DUSP22	+	0.4	adipose	0.6	skelMuscle	1.00	dual specificity phosphatase 22,dual specificity phos	chr6	335113	335163	chr6:280114-280163:+
ZNF187	+	0.26	cerebellum	0.74	MCF7	1.00	zinc finger protein 187,zinc finger protein 187,zinc fi	chr6	28272021	28272339	chr6:28347779-28348095:+
NQO2	+	0.58	adipose	0.42	skelMuscle	1.00	NAD(P)H dehydrogenase, quinone 2,NAD(P)H dehy	chr6	3015529	3015643	chr6:2960763-2960876:+
TRIM26	-	0.34	MCF7	1	skelMuscle	0.66	tripartite motif-containing 26,tripartite motif-containin	chr6	30204655	30204765	chr6:30280412-30280521:-
MRPS18B	+	0.45	breast	1	lymphNode	0.55	mitochondrial ribosomal protein S18B	chr6	30622831	30622898	chr6:30698588-30698654:+
C6orf134	+	0.53	cerebellum	1	MCF7	0.47	hypothetical protein LOC79969 isoform 2,hypothetic	chr6	30642767	30643011	chr6:30718524-30718767:+
KIAA1949	-	0.42	cerebellum	1	MCF7	0.58	Protein KIAA1949.,Protein KIAA1949.,	chr6	30684407	30686046	chr6:30760164-30761802:-
NRM29,NRM	-	0.43	BT474	1	testes	0.57	nurim,Homo sapiens multispanning nuclear envelop	chr6	30689275	30689452	chr6:30765032-30765208:-
MDC1	-	0.71	HME	1	testes	0.29	mediator of DNA damage checkpoint 1,mediator of D	chr6	30707565	30708357	chr6:30783322-30784113:-
DDR1	+	0.37	MCF7	1	adipose	0.63	Homo sapiens mRNA for DDR1 tein, parti	chr6	30895403	30895514	chr6:30971160-30971270:+
HCR,CCHCR1	-	0.27	cerebellum	1	testes	0.73	StAR-binding protein,Homo sapiens HCR (a-helix co	chr6	31154495	31154799	chr6:31230252-31230555:-
BAT3	-	0.59	MB435	0.36	colon	0.95	HLA-B associated transcript-3 isoform a,HLA-B asso	chr6	31639499	31639646	chr6:31715256-31715402:-
BAT3	-	0.48	liver	0.64	testes	0.16	HLA-B associated transcript-3 isoform a,HLA-B asso	chr6	31644306	31644414	chr6:31720063-31720170:-
C6orf48,G8	+	0.39	MCF7	0.39	adipose	0.01	G8 protein,G8 protein,Homo sapiens mRNA for G8 p	chr6	31836423	31836517	chr6:31912180-31912273:+
C6orf48,G8	+	0.26	MCF7	0.27	adipose	0.01	G8 protein,G8 protein,Homo sapiens mRNA for G8	chr6	31836426	31836517	chr6:31912183-31912273:+
C2,DKFZp779M031	+	0.28	breast	1	lymphNode	0.73	complement component 2 precursor,complement co	chr6	31927954	31928164	chr6:32003711-32003920:+
C2,DKFZp779M031	+	0.25	breast	0.75	adipose	1.00	complement component 2 precursor,complement co	chr6	31928731	31928917	chr6:32004488-32004673:+
